"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Cheilinus abudjubbe";34;1068
"Cheilinus chlorourus";433;11863
"Cheilinus fasciatus";455;10436
"Cheilinus lunulatus";114;2064
"Cheilinus oxycephalus";123;3551
"Cheilinus trilobatus";538;16606
"Cheilinus undulatus";2158;46609
"Cheilio inermis";477;13720
"Cheilodactylus fasciatus";71;1392
"Cheilodactylus pixi";32;525
"Cheilodipterus arabicus";125;3611
"Cheilodipterus artus";151;4345
"Cheilodipterus intermedius";35;857
"Cheilodipterus isostigmus";38;1049
"Cheilodipterus lachneri";32;1090
"Cheilodipterus macrodon";327;8360
"Cheilodipterus nigrotaeniatus";12;363
"Cheilodipterus parazonatus";16;423
"Cheilodipterus quinquelineatus";662;18715
"Cheiloprion labiatus";113;5025
"Chelidonichthys capensis";221;4519
"Chelmon marginalis";49;1247
"Chelmon rostratus";464;11083
"Chelmonops curiosus";61;654
"Chelmonops truncatus";30;1196
"Chelon auratus";6859;145254
"Chelon labrosus";4263;123667
"Chelon ramada";4994;123045
"Chelon richardsonii";607;18917
"Chelonodon pleurospilus";11;163
"Chilomycterus antennatus";123;2130
"Chilomycterus reticulatus";376;7311
"Chirodactylus brachydactylus";82;1811
"Chirodactylus spectabilis";359;14663
"Chirolophis ascanii";117;2569
"Chironemus maculosus";24;299
"Chironemus marmoratus";100;4235
"Chironemus microlepis";10;278
"Chlorurus atrilunula";35;1535
"Chlorurus bleekeri";242;6009
"Chlorurus bowersi";71;1675
"Chlorurus capistratoides";50;760
"Chlorurus frontalis";126;2851
"Chlorurus gibbus";448;20676
"Chlorurus japanensis";109;4413
"Chlorurus microrhinos";502;16017
"Chlorurus rhakoura";18;211
"Chlorurus sordidus";1474;54663
"Chlorurus spilurus";118;1555
"Chlorurus strongylocephalus";111;2752
"Choerodon anchorago";297;7246
"Choerodon azurio";152;2344
"Choerodon cauteroma";41;993
"Choerodon cephalotes";81;2786
"Choerodon cyanodus";156;4898
"Choerodon fasciatus";133;4278
"Choerodon graphicus";65;2591
"Choerodon jordani";55;2615
"Choerodon monostigma";29;1013
"Choerodon rubescens";280;18906
"Choerodon schoenleinii";339;9883
"Choerodon vitta";22;1017
"Chriolepis dialepta";7;97
"Chromis abrupta";6;69
"Chromis acares";88;1906
"Chromis agilis";137;4572
"Chromis alpha";80;4906
"Chromis alta";58;1445
"Chromis amboinensis";116;1529
"Chromis analis";101;1653
"Chromis atrilobata";305;8691
"Chromis atripectoralis";489;20880
"Chromis atripes";97;1873
"Chromis bami";8;202
"Chromis caudalis";58;1269
"Chromis chromis";2502;73169
"Chromis chrysura";209;6415
"Chromis cinerascens";38;820
"Chromis crusma";109;1155
"Chromis cyanea";861;40355
"Chromis dimidiata";257;7209
"Chromis dispilus";318;15487
"Chromis elerae";35;803
"Chromis flavaxilla";28;318
"Chromis flavipectoralis";12;68
"Chromis flavomaculata";56;1136
"Chromis fumea";107;2314
"Chromis hanui";79;2985
"Chromis hypsilepis";130;3772
"Chromis insolata";216;5974
"Chromis iomelas";84;1562
"Chromis klunzingeri";41;1109
"Chromis lepidolepis";137;3635
"Chromis limbata";225;7184
"Chromis limbaughi";101;1047
"Chromis lineata";37;1263
"Chromis margaritifer";293;5578
"Chromis multilineata";840;25784
"Chromis nigrura";71;2062
"Chromis nitida";269;9857
"Chromis notata";384;10415
"Chromis opercularis";73;1106
"Chromis ovalis";116;4466
"Chromis pamae";5;29
"Chromis pelloura";35;1505
"Chromis pembae";34;1025
"Chromis punctipinnis";885;43844
"Chromis randalli";17;251
"Chromis retrofasciata";111;2681
"Chromis scotochiloptera";14;159
"Chromis scotti";183;5328
"Chromis ternatensis";505;18908
"Chromis vanderbilti";192;4883
"Chromis viridis";1208;36997
"Chromis weberi";258;5144
"Chromis westaustralis";35;1026
"Chromis xanthochira";61;1923
"Chromis xanthura";174;2936
"Chromis xutha";13;181
"Chrysiptera biocellata";330;17613
"Chrysiptera bleekeri";10;147
"Chrysiptera brownriggii";254;7286
"Chrysiptera caesifrons";8;24
"Chrysiptera cyanea";633;23929
"Chrysiptera flavipinnis";39;2269
"Chrysiptera galba";18;203
"Chrysiptera glauca";217;6126
"Chrysiptera hemicyanea";80;1769
"Chrysiptera notialis";20;215
"Chrysiptera oxycephala";36;589
"Chrysiptera parasema";222;4801
"Chrysiptera rapanui";39;784
"Chrysiptera rex";181;5473
"Chrysiptera rollandi";199;9827
"Chrysiptera springeri";39;3703
"Chrysiptera starcki";47;1230
"Chrysiptera talboti";86;2525
"Chrysiptera taupou";69;832
"Chrysiptera traceyi";23;296
"Chrysiptera tricincta";21;530
"Chrysiptera unimaculata";201;4812
"Chrysoblephus cristiceps";155;5711
"Chrysoblephus gibbiceps";128;2922
"Chrysoblephus laticeps";417;13275
"Cirrhilabrus cyanopleura";117;2323
"Cirrhilabrus exquisitus";115;3105
"Cirrhilabrus flavidorsalis";11;603
"Cirrhilabrus katherinae";22;603
"Cirrhilabrus laboutei";25;1167
"Cirrhilabrus lineatus";16;963
"Cirrhilabrus punctatus";87;3497
"Cirrhilabrus randalli";6;201
"Cirrhilabrus scottorum";29;1172
"Cirrhilabrus solorensis";37;880
"Cirrhilabrus temminckii";113;4615
"Cirrhilabrus walindi";4;192
"Cirrhitichthys aprinus";83;2409
"Cirrhitichthys falco";171;3762
"Cirrhitichthys oxycephalus";325;7722
"Cirrhitops fasciatus";80;2743
"Cirrhitops hubbardi";31;715
"Cirrhitus pinnulatus";262;7838
"Cirrhitus rivulatus";208;4820
"Cirripectes alboapicalis";38;862
"Cirripectes alleni";6;43
"Cirripectes auritus";17;342
"Cirripectes castaneus";110;2761
"Cirripectes chelomatus";18;566
"Cirripectes filamentosus";41;888
"Cirripectes fuscoguttatus";18;752
"Cirripectes hutchinsi";10;51
"Cirripectes polyzona";56;1338
"Cirripectes springeri";6;149
"Cirripectes stigmaticus";63;1541
"Cirripectes vanderbilti";32;637
"Cirripectes variolosus";102;3774
"Cleidopus gloriamaris";114;5094
"Clepticus parrae";531;19042
"Clinus latipennis";12;184
"Clinus superciliosus";332;13626
"Clinus venustris";19;433
"Cnidoglanis macrocephalus";418;17107
"Cochleoceps bicolor";15;448
"Cochleoceps orientalis";9;178
"Conger verreauxi";111;2951
"Congiopodus peruvianus";138;2034
"Conniella apterygia";7;299
"Coradion altivelis";98;2836
"Coradion chrysozonus";129;3250
"Coris auricularis";131;2809
"Coris aurilineata";19;1291
"Coris aygula";518;22419
"Coris batuensis";176;6382
"Coris bulbifrons";42;764
"Coris caudimacula";112;2589
"Coris centralis";8;217
"Coris cuvieri";84;1985
"Coris debueni";9;256
"Coris dorsomacula";129;3558
"Coris formosa";160;7105
"Coris gaimard";461;13714
"Coris hewetti";8;309
"Coris julis";2367;76799
"Coris picta";94;4019
"Coris pictoides";41;1403
"Coris roseoviridis";5;185
"Coris sandeyeri";80;4540
"Coris venusta";50;702
"Coryphopterus alloides";20;383
"Coryphopterus dicrus";153;5754
"Coryphopterus eidolon";83;2186
"Coryphopterus glaucofraenum";567;20885
"Coryphopterus hyalinus";87;1466
"Coryphopterus lipernes";86;2433
"Coryphopterus personatus";354;13605
"Coryphopterus thrix";54;1351
"Coryphopterus tortugae";47;1186
"Coryphopterus urospilus";91;2001
"Cratinus agassizii";41;1007
"Cremnochorites capensis";24;443
"Crenimugil crenilabis";483;18053
"Cristiceps aurantiacus";50;1687
"Crocodilichthys gracilis";59;612
"Cromileptes altivelis";3250;39563
"Crossosalarias macrospilus";32;1011
"Cryptichthys jojettae";25;655
"Cryptocentrus caeruleomaculatus";52;1158
"Cryptocentrus caeruleopunctatus";40;788
"Cryptocentrus cryptocentrus";112;4454
