"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Paramonacanthus japonicus";186;4471
"Paranotothenia magellanica";341;12742
"Paranthias colonus";346;6343
"Paranthias furcifer";540;15893
"Parapercis australis";34;5090
"Parapercis clathrata";143;3389
"Parapercis colias";1005;41298
"Parapercis haackei";65;1233
"Parapercis lineopunctata";12;166
"Parapercis millepunctata";87;1661
"Parapercis multiplicata";19;689
"Parapercis pacifica";13;390
"Parapercis queenslandica";3;19
"Parapercis ramsayi";29;623
"Parapercis schauinslandii";64;1584
"Parapercis snyderi";118;3040
"Parapercis stricticeps";14;345
"Parapercis tetracantha";29;746
"Parapercis xanthogramma";0;0
"Parapercis xanthozona";62;1617
"Paraplesiops bleekeri";33;638
"Paraplesiops meleagris";74;1702
"Paraplesiops poweri";9;183
"Paraplotosus butleri";10;109
"Parapriacanthus dispar";6;111
"Parapriacanthus elongatus";61;1169
"Parapriacanthus ransonneti";157;3434
"Parapristipoma octolineatum";154;2986
"Parapristipoma trilineatum";672;12861
"Parascorpis typus";32;666
"Paratrachichthys trailli";71;1570
"Pareques acuminatus";498;14660
"Pareques perissa";5;81
"Pareques viola";88;3707
"Parequula melbournensis";198;4538
"Paristiopterus gallipavo";36;613
"Paristiopterus labiosus";58;1847
"Parma alboscapularis";63;2622
"Parma bicolor";13;309
"Parma kermadecensis";21;442
"Parma mccullochi";73;4565
"Parma microlepis";363;15129
"Parma occidentalis";40;1143
"Parma oligolepis";30;1165
"Parma polylepis";42;1307
"Parma unifasciata";59;2563
"Parma victoriae";207;5136
"Parupeneus barberinoides";171;4581
"Parupeneus barberinus";798;15320
"Parupeneus chrysopleuron";91;1756
"Parupeneus ciliatus";218;5077
"Parupeneus crassilabris";51;709
"Parupeneus cyclostomus";518;9997
"Parupeneus forsskali";302;8741
"Parupeneus heptacanthus";474;9931
"Parupeneus indicus";570;11614
"Parupeneus insularis";75;962
"Parupeneus macronemus";283;4960
"Parupeneus multifasciatus";615;11083
"Parupeneus pleurostigma";291;6978
"Parupeneus porphyreus";347;14401
"Parupeneus spilurus";261;6202
"Patagonotothen cornucola";107;4225
"Patagonotothen guntheri";137;9215
"Patagonotothen tessellata";193;6900
"Patagonotothen wiltoni";37;411
"Pelates octolineatus";151;4757
"Pelates quadrilineatus";670;19809
"Pelsartia humeralis";88;2631
"Pempheris adspersa";106;2280
"Pempheris adusta";70;1119
"Pempheris affinis";25;635
"Pempheris analis";38;1205
"Pempheris compressa";32;1227
"Pempheris klunzingeri";95;1877
"Pempheris mangula";45;791
"Pempheris molucca";45;841
"Pempheris multiradiata";116;3250
"Pempheris ornata";10;183
"Pempheris oualensis";225;4972
"Pempheris schomburgkii";277;9477
"Pempheris schwenkii";121;2394
"Pempheris vanicolensis";338;9778
"Pentaceropsis recurvirostris";114;2044
"Pentapodus aureofasciatus";51;996
"Pentapodus caninus";98;2036
"Pentapodus emeryii";40;779
"Pentapodus paradiseus";157;9022
"Pentapodus porosus";35;1407
"Pentapodus trivittatus";86;1205
"Pentapodus vitta";115;2579
"Pervagor alternans";16;307
"Pervagor aspricaudus";46;1080
"Pervagor janthinosoma";102;1727
"Pervagor marginalis";8;151
"Pervagor melanocephalus";83;2196
"Petroscirtes breviceps";312;6135
"Petroscirtes fallax";31;1778
"Petroscirtes lupus";65;3384
"Petroscirtes mitratus";123;4883
"Phanerodon atripes";94;2105
"Pholidapus dybowskii";151;1472
"Pholidichthys leucotaenia";37;1276
"Pholis crassispina";119;2600
"Pholis gunnellus";1742;50190
"Phyllogobius platycephalops";12;329
"Pictichromis paccagnellae";50;1323
"Pictichromis porphyrea";48;1328
"Pictilabrus laticlavius";174;5461
"Pictilabrus viridis";10;576
"Pinguipes brasilianus";331;7864
"Pinguipes chilensis";266;3493
"Plagiotremus azaleus";202;6940
"Plagiotremus ewaensis";30;1131
"Plagiotremus goslinei";25;1439
"Plagiotremus laudandus";56;1757
"Plagiotremus phenax";19;416
"Plagiotremus rhinorhynchos";331;5548
"Plagiotremus tapeinosoma";248;6405
"Plagiotremus townsendi";33;1549
"Planiliza melinoptera";177;11716
"Platax batavianus";72;1336
"Platax boersii";43;739
"Platax orbicularis";596;16724
"Platax pinnatus";286;7663
"Platax teira";598;9334
"Platycephalus bassensis";714;23131
"Platycephalus endrachtensis";209;7129
"Platycephalus fuscus";625;17677
"Platycephalus laevigatus";151;4875
"Platycephalus richardsoni";347;9149
"Platycephalus speculator";260;9823
"Platygillellus rubellulus";6;35
"Plectorhinchus albovittatus";120;2110
"Plectorhinchus caeruleonothus";9;29
"Plectorhinchus chaetodonoides";281;5935
"Plectorhinchus chrysotaenia";65;1729
"Plectorhinchus diagrammus";68;1391
"Plectorhinchus flavomaculatus";251;4372
"Plectorhinchus gibbosus";484;8157
"Plectorhinchus lessonii";76;1577
"Plectorhinchus lineatus";237;3774
"Plectorhinchus multivittatus";16;385
"Plectorhinchus picus";140;2642
"Plectorhinchus polytaenia";47;824
"Plectorhinchus vittatus";298;5397
"Plectranthias nanus";38;1229
"Plectroglyphidodon dickii";370;11841
"Plectroglyphidodon flaviventris";5;131
"Plectroglyphidodon imparipennis";159;4519
"Plectroglyphidodon johnstonianus";244;8327
"Plectroglyphidodon lacrymatus";511;13476
"Plectroglyphidodon leucozonus";200;4006
"Plectroglyphidodon phoenixensis";56;1422
"Plectropomus areolatus";767;18853
"Plectropomus laevis";570;9980
"Plectropomus leopardus";3965;156425
"Plectropomus maculatus";966;26946
"Plectropomus oligacanthus";137;2073
"Plectropomus pessuliferus";187;2283
"Pleurosicya elongata";6;181
"Pleurosicya mossambica";40;773
"Plotosus canius";710;11279
"Plotosus japonicus";103;2236
"Plotosus lineatus";1780;50097
"Pollachius pollachius";2708;80557
"Pollachius virens";9015;335435
"Polysteganus praeorbitalis";64;1365
"Polysteganus undulosus";159;7618
"Pomacanthus arcuatus";826;23969
"Pomacanthus imperator";851;18845
"Pomacanthus navarchus";66;1688
"Pomacanthus paru";1075;25154
"Pomacanthus semicirculatus";429;11595
"Pomacanthus sexstriatus";213;7548
"Pomacanthus xanthometopon";79;1286
"Pomacanthus zonipectus";328;5563
"Pomacentrus adelus";135;4922
"Pomacentrus albimaculus";10;194
"Pomacentrus alexanderae";85;1877
"Pomacentrus alleni";30;208
"Pomacentrus amboinensis";1463;68386
"Pomacentrus aurifrons";27;481
"Pomacentrus auriventris";42;372
"Pomacentrus australis";45;3039
"Pomacentrus baenschi";28;1214
"Pomacentrus bankanensis";233;8466
"Pomacentrus brachialis";139;3905
"Pomacentrus burroughi";40;839
"Pomacentrus caeruleus";251;6235
"Pomacentrus callainus";7;283
"Pomacentrus chrysurus";528;24114
"Pomacentrus coelestis";857;37623
"Pomacentrus cuneatus";31;514
"Pomacentrus grammorhynchus";58;1873
"Pomacentrus imitator";31;726
"Pomacentrus indicus";24;340
"Pomacentrus lepidogenys";203;7556
"Pomacentrus microspilus";4;33
"Pomacentrus milleri";62;1327
"Pomacentrus moluccensis";1127;59045
"Pomacentrus nagasakiensis";288;11905
"Pomacentrus nigromanus";36;575
"Pomacentrus nigromarginatus";46;971
"Pomacentrus opisthostigma";7;98
"Pomacentrus pavo";325;8770
"Pomacentrus philippinus";151;3455
"Pomacentrus reidi";35;409
"Pomacentrus simsiang";40;443
"Pomacentrus smithi";31;259
"Pomacentrus spilotoceps";11;188
"Pomacentrus sulfureus";141;5351
"Pomacentrus trichrourus";101;2234
"Pomacentrus trilineatus";78;1649
"Pomacentrus tripunctatus";105;3032
"Pomacentrus vaiuli";237;8596
"Pomacentrus wardi";359;21930
"Pomachromis fuscidorsalis";13;314
"Pomachromis richardsoni";90;2308
"Pomadasys incisus";624;15373
"Pomatomus saltatrix";8972;291388
"Pomatoschistus flavescens";1565;54606
"Pomatoschistus minutus";4849;175925
"Pomatoschistus pictus";612;13038
"Porichthys notatus";2912;115283
"Praealticus natalis";9;323
"Premnas biaculeatus";517;16991
"Priacanthus blochii";66;1624
"Priacanthus hamrur";868;16133
"Priolepis ascensionis";11;194
"Prionotus miles";10;139
"Prionurus laticlavius";141;2450
"Prionurus maculatus";72;2240
"Prionurus microlepidotus";151;4126
"Prionurus punctatus";243;5871
"Prionurus scalprum";141;2009
"Pristiapogon exostigma";176;6985
"Pristiapogon kallopterus";256;8196
"Pristicon trimaculatus";98;2763
"Prognathodes aculeatus";239;5477
"Prognathodes falcifer";80;2768
"Prolatilus jugularis";193;2966
"Psammoperca waigiensis";337;7579
"Pseudanthias bicolor";66;2082
"Pseudanthias dispar";79;1653
"Pseudanthias evansi";70;1419
"Pseudanthias hiva";6;80
"Pseudanthias huchtii";52;1082
"Pseudanthias hypselosoma";61;1320
"Pseudanthias ignitus";14;228
"Pseudanthias lori";37;1106
"Pseudanthias mooreanus";8;118
"Pseudanthias olivaceus";20;198
"Pseudanthias pascalus";90;2132
"Pseudanthias pictilis";21;579
"Pseudanthias pleurotaenia";72;1707
"Pseudanthias regalis";9;249
"Pseudanthias rubrizonatus";48;1051
"Pseudanthias squamipinnis";892;42420
"Pseudanthias taeniatus";38;1023
"Pseudanthias tuka";72;1641
"Pseudobalistes flavimarginatus";338;6045
"Pseudobalistes fuscus";347;8046
"Pseudobalistes naufragium";223;5213
"Pseudoblennius cottoides";249;3401
"Pseudocaranx dentex";2909;78141
"Pseudocaranx wrighti";129;2847
"Pseudocheilinops ataenia";9;601
"Pseudocheilinus evanidus";168;5769
"Pseudocheilinus hexataenia";325;7848
"Pseudocheilinus ocellatus";27;672
"Pseudocheilinus octotaenia";158;4500
"Pseudocheilinus tetrataenia";71;1271
"Pseudochromis ammeri";4;24
"Pseudochromis bitaeniatus";15;572
"Pseudochromis cyanotaenia";42;1248
"Pseudochromis elongatus";6;365
"Pseudochromis flavivertex";103;2030
"Pseudochromis fridmani";138;6362
"Pseudochromis fuscus";379;14101
"Pseudochromis marshallensis";33;1326
"Pseudochromis olivaceus";25;799
"Pseudochromis pesi";11;225
"Pseudochromis springeri";25;430
"Pseudochromis wilsoni";11;190
"Pseudocoris aurantiofasciata";21;679
"Pseudocoris bleekeri";18;558
"Pseudocoris yamashiroi";83;3970
"Pseudodax moluccanus";173;4715
"Pseudogoniistius nigripes";86;2972
"Pseudojuloides atavai";29;901
"Pseudojuloides cerasinus";115;4145
"Pseudojuloides elongatus";33;538
"Pseudolabrus biserialis";49;1433
"Pseudolabrus fuentesi";19;479
"Pseudolabrus guentheri";64;2375
"Pseudolabrus luculentus";77;4033
"Pseudolabrus miles";164;4775
"Pseudolabrus rubicundus";86;3003
"Pseudolabrus semifasciatus";8;334
"Pseudolabrus sieboldi";256;5450
"Pseudopercis semifasciata";580;12362
"Pseudophycis bachus";628;18252
"Pseudophycis barbata";335;15559
"Pseudotolithus senegalensis";511;5935
"Pseudupeneus grandisquamis";265;2944
"Pseudupeneus maculatus";1160;34335
"Pseudupeneus prayensis";434;8312
"Psilotris boehlkei";11;178
"Pteragogus aurigarius";34;601
"Pteragogus cryptus";77;3694
"Pteragogus enneacanthus";47;1729
"Pteragogus flagellifer";162;3486
"Pterapogon kauderni";579;16010
"Ptereleotris calliura";75;1550
"Ptereleotris evides";226;3713
"Ptereleotris hanae";49;839
"Ptereleotris heteroptera";92;2710
"Ptereleotris microlepis";125;2963
"Ptereleotris monoptera";23;809
"Ptereleotris zebra";79;1869
"Pterocaesio chrysozona";259;5028
"Pterocaesio digramma";317;8122
"Pterocaesio marri";161;4355
"Pterocaesio pisang";211;4552
"Pterocaesio randalli";24;674
"Pterocaesio tessellata";42;1125
"Pterocaesio tile";429;9604
"Pterocaesio trilineata";99;1834
"Pterogobius zacalles";48;489
"Pterogymnus laniarius";255;8644
"Pterois antennata";316;6217
"Pterois miles";1186;23213
"Pterois radiata";201;4809
"Pterois volitans";3770;134957
"Pygoplites diacanthus";515;13617
"Quassiremus evionthas";11;371
"Rachycentron canadum";10036;263509
"Rastrelliger kanagurta";5034;96772
"Remora remora";862;22778
"Repomucenus calcaratus";42;703
"Rhabdamia gracilis";177;5109
"Rhabdosargus holubi";776;44112
"Rhabdosargus sarba";3751;105728
"Rhacochilus toxotes";224;6630
"Rhacochilus vacca";802;26858
"Rhinecanthus aculeatus";941;26651
"Rhinecanthus assasi";91;1421
"Rhinecanthus lunula";25;592
"Rhinecanthus rectangulus";284;6228
"Rhinecanthus verrucosus";118;1653
"Rhinogobiops nicholsii";632;23629
"Rhinomuraena quaesita";165;5609
"Rhomboplites aurorubens";1598;34031
"Rhycherus filamentosus";22;241
"Rhynchostracion nasus";90;1653
"Ruanoho whero";57;2033
"Rypticus bicolor";135;4452
"Rypticus courtenayi";10;60
"Rypticus nigripinnis";114;1741
"Rypticus saponaceus";464;13480
"Salarias alboguttatus";17;301
"Salarias ceramensis";10;472
"Salarias fasciatus";271;9645
"Salarias guttatus";24;828
"Salarias segmentatus";5;145
"Salmo salar";27278;1125739
"Sanopus astrifer";39;783
"Sanopus reticulatus";21;258
"Sanopus splendidus";28;462
"Sarda australis";131;3727
"Sarda orientalis";929;15027
"Sarda sarda";4094;78427
"Sardina pilchardus";15884;445948
"Sardinella aurita";7214;156732
"Sardinops sagax";16472;548156
"Sargocentron caudimaculatum";257;4083
"Sargocentron cornutum";59;1747
"Sargocentron diadema";364;8764
"Sargocentron hormion";9;88
"Sargocentron ittodai";78;2045
"Sargocentron melanospilos";75;2544
"Sargocentron microstoma";133;3944
"Sargocentron rubrum";722;18652
"Sargocentron spiniferum";497;13386
"Sargocentron suborbitale";166;3199
"Sargocentron tiere";135;3697
"Sargocentron tiereoides";44;1700
"Sargocentron vexillarium";216;10234
"Sargocentron violaceum";72;1907
"Sarpa salpa";3627;114093
"Saurida gracilis";464;15701
"Saurida nebulosa";96;2083
"Scaevius milii";12;44
"Scartella poiti";23;287
"Scartella springeri";8;208
"Scarus altipinnis";229;7948
"Scarus chameleon";148;4857
"Scarus coelestinus";284;9813
"Scarus coeruleus";344;10182
"Scarus compressus";158;2682
"Scarus dimidiatus";189;4020
"Scarus falcipinnis";34;1467
"Scarus ferrugineus";183;9535
"Scarus festivus";86;1844
"Scarus flavipectoralis";149;7117
"Scarus forsteni";254;5302
"Scarus frenatus";492;14061
"Scarus fuscopurpureus";41;656
"Scarus ghobban";1510;34070
"Scarus globiceps";240;6315
"Scarus guacamaia";632;22227
"Scarus iseri";1391;66871
"Scarus koputea";7;170
"Scarus longipinnis";50;1278
"Scarus niger";565;18375
"Scarus oviceps";235;5083
"Scarus perrico";231;5279
"Scarus prasiognathos";154;2590
"Scarus psittacus";634;16419
"Scarus quoyi";147;2384
"Scarus rivulatus";614;20815
"Scarus rubroviolaceus";826;23101
"Scarus russelii";59;1756
"Scarus scaber";114;3421
"Scarus schlegeli";614;19336
"Scarus spinus";135;3715
"Scarus taeniopterus";726;20984
"Scarus tricolor";133;3042
"Scarus trispinosus";262;17644
"Scarus vetula";782;34939
"Scarus viridifucatus";52;1564
"Scarus zelindae";150;4605
"Schuettea scalaripinnis";33;2573
"Schuettea woodwardi";22;988
"Sciaena umbra";1815;44363
"Scobinichthys granulatus";185;5309
"Scolecenchelys breviceps";44;809
"Scolopsis affinis";99;2113
"Scolopsis aurata";51;456
"Scolopsis bilineata";528;14984
"Scolopsis ciliata";174;1944
"Scolopsis frenata";56;1261
"Scolopsis ghanam";150;3593
"Scolopsis lineata";188;3425
"Scolopsis margaritifera";134;2594
"Scolopsis monogramma";191;4972
"Scolopsis temporalis";50;1155
"Scolopsis trilineata";83;1902
"Scolopsis vosmeri";243;2499
"Scolopsis xenochrous";58;1043
"Scomber australasicus";2000;42766
"Scomber colias";1452;32423
"Scomberoides commersonnianus";751;15013
"Scomberoides lysan";855;20691
"Scomberoides tol";478;7540
"Scomberomorus commerson";4133;89031
"Scomberomorus maculatus";2027;51959
"Scomberomorus queenslandicus";247;8808
"Scomberomorus regalis";632;17300
"Scomberomorus sierra";985;14765
"Scombrops boops";226;2884
"Scorpaena ascensionis";7;121
"Scorpaena canariensis";55;723
"Scorpaena cardinalis";152;5553
"Scorpaena guttata";869;27602
"Scorpaena histrio";96;2914
"Scorpaena jacksoniensis";42;287
"Scorpaena maderensis";327;8207
"Scorpaena mellissii";6;81
"Scorpaena mystes";257;4528
"Scorpaena notata";1089;35583
"Scorpaena papillosa";194;6685
"Scorpaena plumieri";865;26405
"Scorpaena porcus";2749;62972
"Scorpaena scrofa";1547;33062
"Scorpaena sumptuosa";22;524
"Scorpaenichthys marmoratus";1149;27850
"Scorpaenodes evides";101;1890
"Scorpaenodes parvipinnis";94;5891
"Scorpaenodes scaber";43;1659
"Scorpaenopsis cirrosa";125;2366
"Scorpaenopsis diabolus";214;5879
"Scorpaenopsis neglecta";59;1391
"Scorpaenopsis oxycephala";101;1638
"Scorpaenopsis papuensis";34;818
"Scorpaenopsis possi";50;807
"Scorpis aequipinnis";179;7151
"Scorpis georgiana";73;2001
"Scorpis lineolata";273;8558
"Scorpis violacea";159;5609
"Sebastapistes cyanostigma";98;3423
"Sebastapistes strongia";94;2276
"Sebastes atrovirens";471;16017
"Sebastes auriculatus";534;17671
"Sebastes carnatus";384;14119
"Sebastes caurinus";1192;41474
"Sebastes chrysomelas";336;8116
"Sebastes flavidus";1233;34869
"Sebastes inermis";1536;32411
"Sebastes maliger";686;14960
"Sebastes mystinus";974;36123
"Sebastes oculatus";253;5035
"Sebastes paucispinis";1480;50967
"Sebastes rastrelliger";453;16894
"Sebastes rosaceus";234;5104
"Sebastes serranoides";434;12795
"Sebastes serriceps";173;4031
"Sebastiscus albofasciatus";39;1116
"Sebastiscus marmoratus";3154;84781
"Selar boops";308;4890
"Selar crumenophthalmus";2599;46127
"Selaroides leptolepis";2068;41453
"Semicossyphus darwini";132;2786
"Semicossyphus pulcher";1359;55949
"Seriola dumerili";7458;247765
"Seriola hippos";190;3960
"Seriola lalandi";5882;207682
"Seriola rivoliana";1710;38855
"Seriolella brama";418;12789
"Serranocirrhitus latus";50;1502
"Serranus atricauda";457;9049
"Serranus baldwini";255;7722
"Serranus cabrilla";2448;71944
"Serranus flaviventris";165;2998
"Serranus psittacinus";284;8055
"Serranus scriba";1937;48778
"Serranus socorroensis";12;49
"Serranus tabacarius";240;11062
"Serranus tico";11;86
"Serranus tigrinus";406;15225
"Serranus tortugarum";217;9265
"Siganus argenteus";838;29575
"Siganus corallinus";243;7100
"Siganus doliatus";410;14458
"Siganus fuscescens";1587;51883
"Siganus guttatus";2253;56123
"Siganus javus";678;11387
"Siganus lineatus";839;25956
"Siganus luridus";1181;34034
"Siganus niger";7;101
"Siganus puelloides";30;722
"Siganus puellus";210;3958
"Siganus punctatissimus";51;1267
"Siganus punctatus";281;6472
"Siganus rivulatus";2781;83013
"Siganus spinus";609;24436
"Siganus stellatus";179;3704
"Siganus trispilos";11;108
"Siganus vermiculatus";288;10162
"Siganus virgatus";262;3153
"Siganus vulpinus";262;5183
"Signigobius biocellatus";61;2356
"Sillaginodes punctatus";950;36366
"Sillago ciliata";806;25655
"Sillago schomburgkii";346;12013
"Similiparma lurida";281;7210
"Siphamia cephalotes";102;4163
"Siphamia roseigaster";60;1493
"Siphonognathus argyrophanes";29;1421
"Siphonognathus attenuatus";31;1106
"Siphonognathus beddomei";55;2238
"Siphonognathus caninis";25;713
"Siphonognathus radiatus";49;1687
"Sparisoma amplum";230;4660
"Sparisoma atomarium";302;8964
"Sparisoma aurofrenatum";922;32969
"Sparisoma axillare";341;6629
"Sparisoma chrysopterum";603;20842
"Sparisoma cretense";1105;22827
"Sparisoma frondosum";279;7927
"Sparisoma radians";1029;44699
"Sparisoma rubripinne";681;28328
"Sparisoma viride";1966;82669
"Sparodon durbanensis";222;7265
"Sphaeramia nematoptera";131;5252
"Sphoeroides annulatus";1149;18767
"Sphoeroides lobatus";228;3091
"Sphoeroides marmoratus";187;4121
"Sphoeroides spengleri";865;23432
"Sphyraena barracuda";4408;121681
"Sphyraena ensis";340;6168
"Sphyraena flavicauda";373;10232
"Sphyraena helleri";79;2287
"Sphyraena idiastes";109;3201
"Sphyraena jello";1035;21899
"Sphyraena novaehollandiae";180;4150
"Sphyraena obtusata";738;14300
"Sphyraena putnamae";140;1456
"Sphyraena qenie";260;6622
"Sphyraena viridensis";431;7901
"Spicara maena";1708;36323
"Spondyliosoma cantharus";2270;66434
"Spondyliosoma emarginatum";192;6013
"Spratelloides gracilis";633;19485
"Spratelloides robustus";233;7070
"Springeratus polyporatus";4;77
"Squamicreedia obtusa";10;99
"Stanulus talboti";20;556
"Starksia galapagensis";12;177
"Stegastes acapulcoensis";274;27818
"Stegastes adustus";575;18248
"Stegastes albifasciatus";134;5989
"Stegastes altus";49;1173
"Stegastes apicalis";150;7988
"Stegastes arcifrons";77;2177
"Stegastes aureus";37;688
"Stegastes beebei";77;2429
"Stegastes diencaeus";470;12158
"Stegastes emeryi";8;95
"Stegastes fasciolatus";641;29989
"Stegastes flavilatus";199;3381
"Stegastes fuscus";763;21583
"Stegastes gascoynei";47;565
"Stegastes insularis";32;721
"Stegastes leucorus";89;3717
"Stegastes leucostictus";1145;47873
"Stegastes nigricans";893;29256
"Stegastes obreptus";59;1156
"Stegastes partitus";3016;106867
"Stegastes pictus";118;5305
"Stegastes planifrons";1244;72157
"Stegastes punctatus";39;518
"Stegastes rectifraenum";380;12408
"Stegastes redemptus";14;302
"Stegastes variabilis";675;18833
"Stephanolepis cirrhifer";1040;20616
"Stephanolepis hispida";1089;28699
"Stereolepis gigas";357;19744
"Stethojulis albovittata";136;4477
"Stethojulis balteata";160;5813
"Stethojulis bandanensis";346;11338
"Stethojulis interrupta";209;5113
"Stethojulis marquesensis";4;50
"Stethojulis strigiventer";277;8507
"Stethojulis terina";43;1014
"Stethojulis trilineata";132;4029
"Stichaeus punctatus";256;8410
"Stygnobrotula latebricola";39;662
"Suezichthys arquatus";34;1290
"Suezichthys aylingi";37;1935
"Suezichthys cyanolaemus";18;269
"Suezichthys devisi";9;242
"Sufflamen albicaudatum";55;986
"Sufflamen bursa";338;4757
"Sufflamen chrysopterum";398;7919
"Sufflamen fraenatum";441;8718
"Sufflamen verres";295;7707
"Symphodus cinereus";680;18460
"Symphodus doderleini";228;6646
"Symphodus mediterraneus";529;17123
"Symphodus melops";1754;56539
"Symphodus ocellatus";1226;37379
"Symphodus roissali";634;15978
"Symphodus rostratus";470;12280
"Symphodus tinca";1187;31134
"Symphodus trutta";119;1738
"Symphorichthys spilurus";96;2624
"Symphorus nematophorus";220;7807
"Synanceia horrida";575;23125
"Synanceia verrucosa";640;17520
"Synchiropus bartelsi";10;370
"Synchiropus morrisoni";23;634
"Synchiropus moyeri";32;492
"Synchiropus splendidus";218;6046
"Synchiropus stellatus";30;539
"Synchirus gilli";76;2409
"Synodus binotatus";93;2534
"Synodus capricornis";24;596
"Synodus dermatogenys";201;6657
"Synodus doaki";31;1153
"Synodus intermedius";505;25022
"Synodus jaculum";84;1785
"Synodus lacertinus";121;2216
"Synodus rubromarmoratus";28;968
"Synodus sageneus";40;1528
"Synodus saurus";812;19048
"Synodus synodus";312;7372
"Synodus ulae";80;2152
"Synodus variegatus";600;22297
"Taenianotus triacanthus";141;5016
"Taurulus bubalis";1157;44383
"Tautoga onitis";1691;83224
"Tautogolabrus adspersus";2244;107386
"Tetractenos glaber";295;9216
"Thalassoma amblycephalum";400;9948
"Thalassoma bifasciatum";3566;186679
"Thalassoma cupido";166;5427
"Thalassoma duperrey";780;30709
"Thalassoma grammaticum";108;1800
"Thalassoma hardwicke";599;17596
"Thalassoma hebraicum";95;2317
"Thalassoma heiseri";10;239
"Thalassoma jansenii";176;4867
"Thalassoma lucasanum";502;17272
"Thalassoma lunare";1036;34033
"Thalassoma lutescens";366;10853
"Thalassoma nigrofasciatum";35;492
"Thalassoma pavo";1248;33549
"Thalassoma purpureum";320;6249
"Thalassoma quinquevittatum";205;7363
"Thalassoma robertsoni";27;522
"Thalassoma rueppellii";112;2571
"Thalassoma septemfasciatum";14;304
"Thalassoma trilobatum";174;4570
"Thalassoma virens";16;502
"Thamnaconus analis";20;395
"Thorogobius ephippiatus";330;6799
"Thunnus albacares";2447;56182
"Thyrsites atun";1728;45115
"Thysanophrys cirronasus";9;87
"Tigrigobius harveyi";0;0
"Tigrigobius nesiotes";14;396
"Tigrigobius redimiculus";14;206
"Tigrigobius saucrus";19;497
"Tilodon sexfasciatus";87;1128
"Tomicodon bidens";3;80
"Torquigener pleurogramma";247;7687
"Torquigener squamicauda";13;300
"Totoaba macdonaldi";1220;50351
"Trachichthys australis";38;1800
"Trachinops brauni";15;456
"Trachinops caudimaculatus";77;2893
"Trachinops noarlungae";55;649
"Trachinops taeniatus";95;2965
"Trachinotus anak";15;332
"Trachinotus baillonii";297;5291
"Trachinotus blochii";2645;50332
"Trachinotus ovatus";3348;120400
"Trachinotus rhodopus";263;6874
"Trachinotus stilbe";28;660
"Trachinus draco";1865;43582
"Trachurus declivis";820;23923
"Trachurus indicus";96;2408
"Trachurus japonicus";3713;89903
"Trachurus novaezelandiae";735;19426
"Trachurus symmetricus";3053;114531
"Trachurus trachurus";10538;250823
"Trachypoma macracanthus";50;1225
"Tragulichthys jaculiferus";95;2349
"Trianectes bucephalus";9;70
"Tridentiger trigonocephalus";999;12816
"Trimma benjamini";38;660
"Trimma caesiura";59;1921
"Trimma lantana";11;225
"Trimma okinawae";369;11630
"Trimma striatum";20;979
"Trinorfolkia clarkei";37;388
"Trinorfolkia cristata";14;130
"Tripterygion delaisi";490;15195
"Tripterygion melanurus";70;1899
"Trisopterus minutus";2145;65465
"Tylosurus crocodilus";980;25528
"Ucla xenogrammus";42;1363
"Ulua mentalis";130;3620
"Umbrina galapagorum";10;90
"Upeneichthys lineatus";277;11161
"Upeneichthys vlamingii";152;2427
"Upeneus moluccensis";1190;31118
"Upeneus tragula";1018;30060
"Uraspis helvola";201;2937
"Valenciennea alleni";3;13
"Valenciennea helsdingenii";69;1506
"Valenciennea immaculata";18;176
"Valenciennea longipinnis";172;5947
"Valenciennea muralis";72;1532
"Valenciennea parva";14;377
"Valenciennea puellaris";89;1725
"Valenciennea randalli";11;271
"Valenciennea sexguttata";91;2484
"Valenciennea strigata";272;5438
"Variola albimarginata";279;4390
"Variola louti";1022;21699
"Verulux cypselurus";89;2113
"Vincentia conspersa";80;1512
"Vincentia novaehollandiae";12;146
"Vladichthys gloverensis";16;274
"Xanthichthys mento";144;2597
"Xenichthys agassizii";24;542
"Xenocys jessiae";40;948
"Xyrichtys novacula";879;30396
"Xyrichtys victori";13;577
"Xyrichtys wellingtoni";13;309
"Zabidius novemaculeatus";25;611
"Zanclistius elevatus";50;935
"Zanclus cornutus";1217;31333
"Zebrasoma desjardinii";172;2785
"Zebrasoma flavescens";883;33100
"Zebrasoma rostratum";54;1724
"Zebrasoma scopas";830;29400
"Zebrasoma velifer";420;13864
"Zebrasoma xanthurum";197;3622
"Zeus faber";2847;68611
"Zoarchias veneficus";18;278
"Zoramia fragilis";82;3370
"Zoramia leptacantha";136;3400
"Zoramia viridiventer";14;172
