"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Amblyglyphidodon aureus";91;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amblyglyphidodon batunaorum";107;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amblyglyphidodon curacao";85;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amblyglyphidodon flavilatus";206;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Amblyglyphidodon indicus";212;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amblyglyphidodon leucogaster";94;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amblyglyphidodon melanopterus";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amblyglyphidodon orbicularis";124;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amblyglyphidodon ternatensis";102;NA;"VU";"never/rarely";"never/rarely";"unknown";NA;NA
"Amblygobius buanensis";118;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Amblygobius bynoensis";211;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Amblygobius decussatus";110;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblygobius nocturnus";101;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Amblygobius phalaena";93;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblyrhynchote honckenii";124;"of no interest";"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Ammodytes tobianus";80;"highly commercial";"DD";"usually";"never/rarely";"low";"never/rarely";" "
"Amphichaetodon howensis";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphichthys cryptocentrus";92;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amphiprion akallopisos";94;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion akindynos";97;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion allardi";99;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Amphiprion biaculeatus";91;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion bicinctus";98;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion chrysopterus";85;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion clarkii";75;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion ephippium";91;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion frenatus";87;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion fuscocaudatus";103;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion latezonatus";98;NA;"DD";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion leucokranos";99;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion mccullochi";98;NA;"VU";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion melanopus";84;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion nigripes";103;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
