"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Labracoglossa nitida";233;NA;"N.E.";NA;NA;"unknown";NA;NA
"Labrichthys unilineatus";98;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Labrisomus cricota";223;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Labrisomus jenkinsi";154;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Labrisomus multiporosus";228;NA;"LC";NA;NA;"unknown";NA;NA
"Labrisomus nuchipinnis";92;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Labrisomus socorroensis";259;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Labroides bicolor";101;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Labroides dimidiatus";79;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Labroides pectoralis";100;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Labroides phthirophagus";103;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Labroides rubrolabiatus";212;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Labropsis alleni";107;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Labropsis australis";107;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Labropsis manabei";105;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Labropsis micronesica";109;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Labropsis xanthonota";100;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Labrus bergylta";74;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Labrus merula";83;"subsistence fisheries";"LC";NA;"never/rarely";"very high";"commercial";"based mainly on capture"
"Labrus mixtus";81;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"very high";"public aquariums";"based mainly on capture"
"Labrus viridis";94;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lachnolaimus maximus";77;"minor commercial";"VU";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Lactophrys bicaudalis";96;NA;"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lactophrys triqueter";94;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lactoria diaphana";109;"of no interest";"N.E.";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Lactoria fornasini";110;"of no interest";"N.E.";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Larabicus quadrilineatus";110;NA;"DD";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Latridopsis ciliaris";111;"commercial";"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Latridopsis forsteri";222;"commercial";"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Latropiscis purpurissatus";118;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Leiocottus hirundo";238;NA;"N.E.";NA;"never/rarely";"low";NA;NA
"Lepidonectes bimaculatus";138;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Lepidonectes clarkhubbsi";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Lepidonectes corallicola";211;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Lepidozygus tapeinosoma";97;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Leptatherina presbyteroides";221;NA;"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Leptocottus armatus";103;NA;"LC";"never/rarely";"never/rarely";"low";"public aquariums";"based mainly on capture"
"Leptojulis cyanopleura";107;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Leptoscarus vaigiensis";81;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lesueurigobius friesii";98;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus amboinensis";103;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus atkinsoni";70;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";"based mainly on capture"
"Lethrinus borbonicus";84;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus erythracanthus";104;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus erythropterus";96;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus genivittatus";90;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus harak";72;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";" "
"Lethrinus laticaudis";90;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus lentjan";66;"highly commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus microdon";85;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus miniatus";67;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus nebulosus";61;"highly commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lethrinus obsoletus";77;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus olivaceus";80;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus ornatus";90;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus rubrioperculatus";81;"highly commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus variegatus";86;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lethrinus xanthochilus";81;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Leviprora inops";211;"of no interest";"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Limnichthys fasciatus";125;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Liparis montagui";95;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Lipophrys pholis";88;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";NA
"Lithognathus lithognathus";98;"minor commercial";"EN";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Lithognathus mormyrus";67;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Lotella rhacina";220;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Lotilia graciliosa";117;NA;"DD";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Lucayablennius zingaro";225;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Lutjanus alexandrei";207;NA;"N.E.";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Lutjanus analis";66;"highly commercial";"NT";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus apodus";73;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus aratus";92;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus argentimaculatus";60;"commercial";"LC";"never/rarely";"commercial";"very high";"never/rarely";NA
"Lutjanus argentiventris";80;"commercial";"LC";"never/rarely";"experimental";"low";"never/rarely";NA
"Lutjanus biguttatus";93;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus bohar";68;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus boutton";90;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus campechanus";65;"commercial";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lutjanus carponotatus";83;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus cyanopterus";80;"commercial";"VU";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus decussatus";91;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus ehrenbergii";89;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus erythropterus";76;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lutjanus fulviflamma";79;"commercial";"LC";"never/rarely";"never/rarely";"high";"public aquariums";"based mainly on capture"
"Lutjanus fulvus";80;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus gibbus";69;"commercial";"LC";"never/rarely";"never/rarely";"high";"public aquariums";"based mainly on capture"
"Lutjanus griseus";65;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus guttatus";82;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus inermis";97;"of potential interest";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus jocu";69;"commercial";"DD";"never/rarely";"never/rarely";"high";"public aquariums";NA
"Lutjanus johnii";73;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lutjanus jordani";89;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus kasmira";69;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus lemniscatus";93;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus lutjanus";87;"highly commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus mahogoni";79;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus monostigma";85;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lutjanus novemfasciatus";93;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus quinquelineatus";69;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Lutjanus rivulatus";87;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lutjanus rufolineatus";104;NA;"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus russellii";84;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Lutjanus sebae";71;"commercial";"LC";"never/rarely";"commercial";"high";"commercial";"based mainly on capture"
"Lutjanus semicinctus";93;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus synagris";60;"commercial";"NT";"never/rarely";"never/rarely";"medium";"public aquariums";NA
"Lutjanus viridis";94;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Lutjanus vitta";77;"commercial";"LC";"never/rarely";"never/rarely";"high";"public aquariums";"based mainly on capture"
"Luzonichthys waitei";112;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Luzonichthys whitleyi";115;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Lythrypnus dalli";100;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Lythrypnus gilberti";120;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Lythrypnus insularis";242;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Macolor macularis";93;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Macolor niger";91;"commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Macrodontogobius wilburi";111;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Macropharyngodon bipartitus";107;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Macropharyngodon choati";206;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Macropharyngodon geoffroy";103;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Macropharyngodon kuiteri";205;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Macropharyngodon meleagris";88;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Macropharyngodon negrosensis";101;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Macropharyngodon ornatus";208;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Malacanthus brevirostris";108;"commercial";"N.E.";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Malacanthus latovittatus";95;"commercial";"N.E.";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Malacanthus plumieri";94;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";"based mainly on capture"
"Malacoctenus boehlkei";225;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus ebisui";125;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus hubbsi";122;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus macropus";221;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Malacoctenus margaritae";133;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus tetranemus";225;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus triangulatus";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Malacoctenus zonifer";132;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Malacoctenus zonogaster";224;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Manonichthys splendens";217;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Maxillicosta scabriceps";122;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Mccoskerichthys sandae";123;NA;"NT";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Mecaenichthys immaculatus";110;NA;"N.E.";"never/rarely";"never/rarely";"unknown";NA;NA
"Medialuna californiensis";103;NA;"LC";NA;"never/rarely";"unknown";NA;NA
"Megalops atlanticus";63;"commercial";"VU";"never/rarely";"commercial";"medium";"public aquariums";NA
"Meiacanthus abruptus";229;NA;"VU";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Meiacanthus atrodorsalis";105;NA;"LC";NA;"never/rarely";"unknown";"commercial";"based mainly on capture"
"Meiacanthus bundoon";111;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus crinitus";213;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus ditrema";109;NA;"LC";NA;"never/rarely";"unknown";NA;NA
"Meiacanthus grammistes";110;NA;"LC";NA;"never/rarely";"unknown";"commercial";"based mainly on capture"
"Meiacanthus kamoharai";121;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus lineatus";217;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus luteus";209;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus mossambicus";117;NA;"LC";NA;"never/rarely";"unknown";"commercial";"based mainly on capture"
"Meiacanthus naevius";237;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus nigrolineatus";111;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Meiacanthus oualanensis";222;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus phaeus";216;NA;"DD";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meiacanthus smithi";210;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Meiacanthus tongaensis";214;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Melanogrammus aeglefinus";57;"highly commercial";"VU";"never/rarely";"experimental";"low";"never/rarely";NA
"Melichthys indicus";109;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Melichthys niger";87;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Melichthys vidua";93;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Mendosoma lineatum";123;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Meuschenia australis";224;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia flavolineata";222;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia freycineti";118;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia galii";231;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia hippocrepis";223;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia scaber";101;"commercial";"LC";"never/rarely";"never/rarely";"high";NA;NA
"Meuschenia trachylepis";225;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Meuschenia venusta";231;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Microcanthus strigatus";119;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Microgobius microlepis";220;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Microlepidotus brevipinnis";212;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Microspathodon bairdii";105;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Microspathodon chrysurus";84;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Microspathodon dorsalis";97;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Mimoblennius lineathorax";235;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Mirolabrichthys evansi";114;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Mirolabrichthys pascalus";113;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Mirolabrichthys tuka";110;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Mola mola";70;"minor commercial";"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Molva molva";71;"highly commercial";"N.E.";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Monacanthus chinensis";115;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Monacanthus tuckeri";115;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Monodactylus argenteus";93;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Monotaxis grandoculis";82;"commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Monotaxis heterodon";239;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Morwong ephippium";123;"commercial";"N.E.";"never/rarely";"never/rarely";"unknown";NA;NA
"Morwong fuscus";124;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Mugil cephalus";56;"highly commercial";"LC";"occasionally";"commercial";"very high";"never/rarely";"based mainly on capture"
"Mugil curema";76;"commercial";"LC";"occasionally";"commercial";"medium";"never/rarely";" "
"Mugil galapagensis";123;NA;"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Mulloidichthys dentatus";123;NA;"LC";NA;"never/rarely";"medium";NA;NA
"Mulloidichthys flavolineatus";78;"commercial";"LC";"usually";"never/rarely";"medium";"commercial";NA
"Mulloidichthys martinicus";96;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Mulloidichthys mimicus";223;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Mulloidichthys vanicolensis";94;"commercial";"LC";"never/rarely";"never/rarely";"medium";NA;NA
"Mullus argentinae";103;"minor commercial";"N.E.";"never/rarely";"never/rarely";"high";"never/rarely";" "
"Mullus surmuletus";71;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Muraena argus";210;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Muraena augusti";97;"of no interest";"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Muraena clepsydra";213;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Muraena helena";77;"minor commercial";"LC";"never/rarely";"never/rarely";"low";"public aquariums";NA
"Muraena lentiginosa";112;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Mycteroperca bonaci";70;"highly commercial";"NT";"never/rarely";"never/rarely";"very high";"public aquariums";" "
"Mycteroperca fusca";194;"commercial";"VU";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Mycteroperca interstitialis";79;"commercial";"VU";"never/rarely";"never/rarely";"high";"public aquariums";NA
"Mycteroperca jordani";96;"minor commercial";"EN";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Mycteroperca microlepis";68;"highly commercial";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Mycteroperca olfax";92;"commercial";"VU";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Mycteroperca rosacea";92;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Mycteroperca tigris";85;"commercial";"DD";"never/rarely";"never/rarely";"high";"public aquariums";NA
"Mycteroperca xenarcha";93;"minor commercial";"DD";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Myoxocephalus scorpius";82;NA;"N.E.";"never/rarely";"never/rarely";"very high";"public aquariums";"based mainly on capture"
"Myrichthys maculosus";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Myrichthys tigrinus";115;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Myripristis adusta";97;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis amaena";80;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";" "
"Myripristis berndti";92;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Myripristis clarionensis";238;NA;"VU";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis earlei";218;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Myripristis gildi";237;NA;"VU";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis hexagona";100;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis jacobus";82;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Myripristis kochiensis";225;NA;"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis kuntee";91;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Myripristis leiognathus";102;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis murdjan";87;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Myripristis pralinia";93;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis randalli";105;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Myripristis tiki";212;NA;"DD";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Myripristis violacea";92;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";NA;NA
"Myripristis vittata";93;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Nannosalarias nativitatis";109;NA;"LC";NA;"never/rarely";"unknown";NA;NA
"Naso annulatus";87;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";NA
"Naso brachycentron";94;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Naso brevirostris";83;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Naso caeruleacauda";210;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Naso caesius";210;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Naso elegans";94;"commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Naso fageni";210;"commercial";"LC";"never/rarely";"never/rarely";"medium";NA;NA
"Naso hexacanthus";80;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Naso lituratus";84;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Naso thynnoides";101;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";NA
"Naso tonganus";108;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Naso unicornis";73;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Naso vlamingii";86;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Neatypus obliquus";126;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Nectamia similis";212;NA;"N.E.";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Nelusetta ayraud";96;"commercial";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Nemadactylus bergi";102;"commercial";"N.E.";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Nemadactylus douglasii";107;"minor commercial";"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Nemadactylus macropterus";79;"commercial";"N.E.";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Nemadactylus valenciennesi";223;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Nemanthias bicolor";110;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Nemanthias dispar";109;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Nemanthias regalis";224;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Nemateleotris magnifica";88;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Neocirrhites armatus";101;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Neoditrema ransonnetii";122;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Neoglyphidodon bonang";106;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Neoglyphidodon carlsoni";110;NA;"N.E.";"never/rarely";"never/rarely";"unknown";NA;NA
"Neoglyphidodon crossi";101;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Neoglyphidodon melas";87;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Neoglyphidodon nigroris";92;NA;"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Neoglyphidodon oxyodon";103;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Neoglyphidodon polyacanthus";100;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Neoglyphidodon thoracotaeniatus";98;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Neomyxus leuciscus";101;NA;"N.E.";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
