"fb_sci_name";"name";"type"
"Amblyglyphidodon curacao";"Glyphisodon smaragdinus";"syn"
"Amblyglyphidodon flavilatus";"Amblyglyphidodon flavilatus";"acc"
"Amblyglyphidodon indicus";"Amblyglyphidodon indicus";"acc"
"Amblyglyphidodon leucogaster";"Amblyglyphidodon leucogaster";"acc"
"Amblyglyphidodon leucogaster";"Abudefduf leucogaster";"syn"
"Amblyglyphidodon leucogaster";"Glyphidodon leucogaster";"syn"
"Amblyglyphidodon leucogaster";"Glyphisodon leucogaster";"syn"
"Amblyglyphidodon leucogaster";"Plectroglyphidodon leucogaster";"syn"
"Amblyglyphidodon melanopterus";"Amblyglyphidodon melanopterus";"acc"
"Amblyglyphidodon orbicularis";"Amblyglyphidodon orbicularis";"acc"
"Amblyglyphidodon orbicularis";"Glyphisodon orbicularis";"syn"
"Amblyglyphidodon ternatensis";"Amblyglyphidodon ternatensis";"acc"
"Amblyglyphidodon ternatensis";"Abudefduf philippinus";"syn"
"Amblyglyphidodon ternatensis";"Glyphidodon nigrifrons";"syn"
"Amblyglyphidodon ternatensis";"Glyphisodon schlegelii";"syn"
"Amblyglyphidodon ternatensis";"Glyphisodon ternatensis";"syn"
"Amblygobius buanensis";"Amblygobius buanensis";"acc"
"Amblygobius buanensis";"Amblygobius perpusillus buanensis";"syn"
"Amblygobius bynoensis";"Amblygobius bynoensis";"acc"
