"fb_sci_name","gbif_valid_key","gbif_valid_name","gbif_synonym"
"Eviota melasma",2376180,"Eviota melasma",FALSE
"Eviota mikiae",2376150,"Eviota mikiae",FALSE
"Eviota nigriventris",2376143,"Eviota nigriventris",FALSE
"Eviota pellucida",2376201,"Eviota pellucida",FALSE
"Eviota prasites",2376195,"Eviota prasites",FALSE
"Eviota raja",2376165,"Eviota raja",FALSE
"Eviota readerae",2376199,"Eviota readerae",FALSE
"Eviota rubriceps",6168332,"Eviota rubriceps",FALSE
"Eviota sebreei",2376139,"Eviota sebreei",FALSE
"Eviota sigillata",2376206,"Eviota sigillata",FALSE
"Eviota storthynx",2376146,"Eviota storthynx",FALSE
"Eviota zebrina",2376194,"Eviota zebrina",FALSE
"Evistias acutirostris",2375223,"Evistias acutirostris",FALSE
"Evynnis cardinalis",2392619,"Evynnis cardinalis",FALSE
"Exallias brevis",2395512,"Exallias brevis",FALSE
"Exyrias belissimus",2375839,"Exyrias belissimus",FALSE
"Favonigobius lateralis",2377685,"Favonigobius lateralis",FALSE
"Foetorepus calauropomus",2386583,"Foetorepus calauropomus",FALSE
"Forcipiger flavissimus",2385706,"Forcipiger flavissimus",FALSE
"Forcipiger longirostris",2385700,"Forcipiger longirostris",FALSE
"Forsterygion capito",2392823,"Forsterygion capito",FALSE
"Forsterygion flavonigrum",2392807,"Forsterygion flavonigrum",FALSE
"Forsterygion gymnotum",2393030,"Forsterygion gymnotum",FALSE
"Forsterygion lapillum",2392820,"Forsterygion lapillum",FALSE
"Forsterygion malcolmi",2392811,"Forsterygion malcolmi",FALSE
"Forsterygion maryannae",5962009,"Forsterygion maryannae",FALSE
"Forsterygion varium",2392812,"Forsterygion varium",FALSE
"Furcina osimae",2333992,"Furcina osimae",FALSE
"Fusigobius duospilus",2377769,"Fusigobius duospilus",FALSE
"Fusigobius inframaculatus",2377756,"Fusigobius inframaculatus",FALSE
"Fusigobius melacron",2377758,"Fusigobius melacron",FALSE
"Fusigobius neophytus",2377776,"Fusigobius neophytus",FALSE
"Fusigobius signipinnis",2377762,"Fusigobius signipinnis",FALSE
"Gadus morhua",8084280,"Gadus morhua",FALSE
"Gasterosteus aculeatus",4286327,"Gasterosteus aculeatus",FALSE
"Genicanthus caudovittatus",2396458,"Genicanthus caudovittatus",FALSE
"Genicanthus lamarck",2396466,"Genicanthus lamarck",FALSE
"Genicanthus semicinctus",2396472,"Genicanthus semicinctus",FALSE
"Genicanthus watanabei",2396456,"Genicanthus watanabei",FALSE
"Genypterus tigerinus",2345644,"Genypterus tigerinus",FALSE
"Gerres cinereus",2369459,"Gerres cinereus",FALSE
"Gerres equulus",2369419,"Gerres equulus",FALSE
"Gerres subfasciatus",2369428,"Gerres subfasciatus",FALSE
"Gillellus chathamensis",2390164,"Gillellus chathamensis",FALSE
"Girella cyanea",2381223,"Girella cyanea",FALSE
"Girella elevata",2381221,"Girella elevata",FALSE
"Girella fimbriata",2381235,"Girella fimbriata",FALSE
"Girella freminvillii",2381242,"Girella freminvillii",FALSE
"Girella nigricans",2381219,"Girella nigricans",FALSE
"Girella punctata",2381231,"Girella punctata",FALSE
"Girella simplicidens",2381218,"Girella simplicidens",FALSE
"Girella tephraeops",2381224,"Girella tephraeops",FALSE
"Girella tricuspidata",2381233,"Girella tricuspidata",FALSE
"Girella zebra",2381227,"Girella zebra",FALSE
"Glaucosoma hebraicum",2374651,"Glaucosoma hebraicum",FALSE
"Glaucosoma magnificum",2374654,"Glaucosoma magnificum",FALSE
"Glaucosoma scapulare",2374656,"Glaucosoma scapulare",FALSE
"Glyptoparus delicatulus",2395686,"Glyptoparus delicatulus",FALSE
"Gnathanacanthus goetzeei",2333571,"Gnathanacanthus goetzeei",FALSE
"Gnathanodon speciosus",2391331,"Gnathanodon speciosus",FALSE
"Gnathodentex aureolineatus",2374957,"Gnathodentex aureolineatus",FALSE
"Gnatholepis anjerensis",2378704,"Gnatholepis anjerensis",FALSE
"Gnatholepis cauerensis",4285928,"Gnatholepis cauerensis",FALSE
"Gnatholepis thompsoni",2378717,"Gnatholepis thompsoni",FALSE
"Gobiesox woodsi",2411270,"Gobiesox woodsi",FALSE
"Gobioclinus dendriticus",7729329,"Gobioclinus dendriticus",FALSE
"Gobiodon citrinus",5208803,"Gobiodon citrinus",FALSE
"Gobiodon heterospilos",5208797,"Gobiodon heterospilos",FALSE
"Gobiodon histrio",5208820,"Gobiodon histrio",FALSE
"Gobiodon okinawae",5208802,"Gobiodon okinawae",FALSE
"Gobiodon quinquestrigatus",5208814,"Gobiodon quinquestrigatus",FALSE
"Gobiodon spilophthalmus",5208823,"Gobiodon spilophthalmus",FALSE
"Gobiosoma hildebrandi",5208827,"Gobiosoma hildebrandi",FALSE
"Gobiosoma spilotum",5208828,"Gobiosoma spilotum",FALSE
"Gobius bucchichi",2376501,"Gobius bucchichi",FALSE
"Gobius cruentatus",8187685,"Gobius cruentatus",FALSE
"Gobius fallax",2376484,"Gobius fallax",FALSE
"Gobius niger",2375526,"Gobius niger",FALSE
"Gobius paganellus",8196993,"Gobius paganellus",FALSE
"Gobius tetrophthalmus",2376513,"Gobius tetrophthalmus",FALSE
"Gobius xanthocephalus",2376555,"Gobius xanthocephalus",FALSE
"Pomatoschistus flavescens",2378270,"Gobiusculus flavescens",TRUE
"Gomphosus caeruleus",2383023,"Gomphosus caeruleus",FALSE
"Gomphosus varius",2383021,"Gomphosus varius",FALSE
"Gorgasia galzini",2403051,"Gorgasia galzini",FALSE
"Gracila albomarginata",2387970,"Gracila albomarginata",FALSE
"Gramma brasiliensis",2380561,"Gramma brasiliensis",FALSE
"Gramma loreto",2380558,"Gramma loreto",FALSE
