"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_05"
"Coris sandeyeri","Coris sandeyeri",5209812,FALSE,519,43
"Coris venusta","Coris venusta",5209798,FALSE,1582,43
"Coryphopterus alloides","Coryphopterus alloides",2377827,FALSE,1,1
"Coryphopterus dicrus","Coryphopterus dicrus",2377837,FALSE,1341,34
"Coryphopterus eidolon","Coryphopterus eidolon",2377828,FALSE,418,42
"Coryphopterus glaucofraenum","Coryphopterus glaucofraenum",2377816,FALSE,9627,63
"Coryphopterus hyalinus","Coryphopterus hyalinus",2377821,FALSE,110,20
"Coryphopterus lipernes","Coryphopterus lipernes",2377829,FALSE,298,32
"Coryphopterus personatus","Coryphopterus personatus",2377831,FALSE,7140,63
"Coryphopterus thrix","Coryphopterus thrix",2377830,FALSE,18,9
"Coryphopterus tortugae","Coryphopterus tortugae",2377818,FALSE,56,10
"Coryphopterus urospilus","Coryphopterus urospilus",2377817,FALSE,64,33
"Cratinus agassizii","Cratinus agassizii",2387968,FALSE,3,2
"Cremnochorites capensis","Cremnochorites capensis",2392702,FALSE,87,5
"Crenimugil crenilabis","Crenimugil crenilabis",2401010,FALSE,121,48
"Cristiceps aurantiacus","Cristiceps aurantiacus",2380286,FALSE,83,33
"Crocodilichthys gracilis","Crocodilichthys gracilis",2393041,FALSE,44,14
"Cromileptes altivelis","Chromileptes altivelis",2387947,TRUE,593,170
"Crossosalarias macrospilus","Crossosalarias macrospilus",2395180,FALSE,128,59
"Cryptichthys jojettae","Cryptichthys jojettae",2393017,FALSE,25,13
"Cryptocentrus caeruleomaculatus","Cryptocentrus caeruleomaculatus",5209048,FALSE,48,26
"Cryptocentrus caeruleopunctatus","Cryptocentrus caeruleopunctatus",5209043,FALSE,26,13
"Cryptocentrus cryptocentrus","Cryptocentrus cryptocentrus",5209059,FALSE,12,9
"Cryptocentrus fasciatus","Cryptocentrus fasciatus",5209060,FALSE,153,54
"Cryptocentrus strigilliceps","Cryptocentrus strigilliceps",5209040,FALSE,131,63
"Ctenochaetus binotatus","Ctenochaetus binotatus",2379623,FALSE,1634,241
"Ctenochaetus cyanocheilus","Ctenochaetus cyanocheilus",2379644,FALSE,2252,131
"Ctenochaetus flavicauda","Ctenochaetus flavicauda",2379625,FALSE,975,57
"Ctenochaetus hawaiiensis","Ctenochaetus hawaiiensis",2379643,FALSE,1068,79
"Ctenochaetus marginatus","Ctenochaetus marginatus",2379637,FALSE,1066,30
"Ctenochaetus striatus","Ctenochaetus striatus",2379621,FALSE,7697,449
"Ctenochaetus tominiensis","Ctenochaetus tominiensis",2379635,FALSE,74,32
"Ctenochaetus truncatus","Ctenochaetus truncatus",2379642,FALSE,169,47
"Ctenogobiops aurocingulus","Ctenogobiops aurocingulus",2379159,FALSE,28,16
"Ctenogobiops crocineus","Ctenogobiops crocineus",2379156,FALSE,79,42
"Ctenogobiops feroculus","Ctenogobiops feroculus",2379162,FALSE,111,45
"Ctenogobiops maculosus","Ctenogobiops maculosus",2379154,FALSE,8,8
"Ctenogobiops mitodes","Ctenogobiops mitodes",2379165,FALSE,97,60
"Ctenogobiops pomastictus","Ctenogobiops pomastictus",2379152,FALSE,214,89
"Ctenogobiops tangaroai","Ctenogobiops tangaroai",2379150,FALSE,24,17
"Ctenolabrus rupestris","Ctenolabrus rupestris",2383163,FALSE,21808,269
"Cybiosarda elegans","Cybiosarda elegans",2374095,FALSE,76,36
"Cyclichthys orbicularis","Cyclichthys orbicularis",2406514,FALSE,325,141
"Cymatoceps nasutus","Cymatoceps nasutus",2392615,FALSE,58,21
"Cymatogaster aggregata","Cymatogaster aggregata",2389234,FALSE,3251,92
"Cymbacephalus beauforti","Cymbacephalus beauforti",2335642,FALSE,264,73
"Cypho purpurascens","Cypho purpurascens",2381639,FALSE,159,48
"Cypho zaps","Cypho zaps",2381638,FALSE,5,1
"Cyprinocirrhites polyactis","Cyprinocirrhites polyactis",2375184,FALSE,132,49
"Dactylophora nigricans","Dactylophora nigricans",5210867,FALSE,1237,99
"Dactylopus dactylopus","Dactylopus dactylopus",5209942,FALSE,268,89
"Daector reticulata","Daector reticulata",2350875,FALSE,1,1
"Daector schmitti","Daector schmitti",2350881,FALSE,1,1
"Dascyllus albisella","Dascyllus albisella",5212038,FALSE,1324,44
"Dascyllus aruanus","Dascyllus aruanus",5212047,FALSE,1808,268
"Dascyllus carneus","Dascyllus carneus",5212042,FALSE,155,50
"Dascyllus flavicaudus","Dascyllus flavicaudus",5212050,FALSE,406,30
"Dascyllus marginatus","Dascyllus marginatus",5212036,FALSE,63,13
